name,color
Area comun,#FFFF
Ing. Civil,#FFFF
Ing. Industrial,#FFFF
Ing. Ciencias y Sistemas,#FFFF
Ing. Mecanica,#FFFF
Ing. Mecanica Industrial,#FFFF
